127.0.0.1 - - [08/Feb/2018:11:17:29 -0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:17:31 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:18:02 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:18:41 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:18:42 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:20:52 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:20:52 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:20:53 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:20:53 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:22:18 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:22:19 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:24:31 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:27:10 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:27:10 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:27:11 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:27:11 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:28:59 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:28:59 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:28:59 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:28:59 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:29:34 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:29:34 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:29:57 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:29:57 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:32:59 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:32:59 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:34:00 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:34:00 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:25 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:25 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:26 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:26 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:46 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:46 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:47 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:35:47 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:39 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:39 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:39 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:39 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:36:40 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:37:06 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:11:37:06 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:08 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:08 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:10 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:10 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:52 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:21:52 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:18 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:18 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:34 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:34 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:50 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:22:50 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:23:27 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:23:27 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:24:21 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:24:21 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:26:14 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:26:14 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:26:34 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 893
