127.0.0.1 - - [17/Mar/2018:13:59:36 -0300] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:37 -0300] "GET /SiteSGeraldo/irmas.xhtml HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/components.css.xhtml;jsessionid=2306FCD6BC48545F1599AB7D251D8248?ln=primefaces&v=6.1 HTTP/1.1" 200 78596
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24282
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/core.js.xhtml;jsessionid=2306FCD6BC48545F1599AB7D251D8248?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=2306FCD6BC48545F1599AB7D251D8248?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/components.js.xhtml;jsessionid=2306FCD6BC48545F1599AB7D251D8248?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/images/WallPaperSGeraldo02.jpg HTTP/1.1" 200 193980
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [17/Mar/2018:13:59:38 -0300] "GET /SiteSGeraldo/images/WallPaperSGeraldo01_v3.jpg HTTP/1.1" 200 179991
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/index.xhtml HTTP/1.1" 200 6280
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 78596
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/galleria/galleria.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/galleria/galleria.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/images/Ensino.jpg?pfdrid_c=true HTTP/1.1" 200 61579
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/images/Oracao.jpg?pfdrid_c=true HTTP/1.1" 200 63423
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/images/Familia.jpg?pfdrid_c=true HTTP/1.1" 200 177504
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/images/Ceia.jpg HTTP/1.1" 200 71331
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/images/Janeiro-Renovacao.png HTTP/1.1" 200 666458
0:0:0:0:0:0:0:1 - - [17/Mar/2018:14:06:21 -0300] "GET /SiteSGeraldo/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
